source	translated	reference
Women, wearing traditional clothing, are reenacting native life.	Phụ nữ, mặc quần áo truyền thống, đang biến đổi cuộc sống của người bản xứ.	Những người phụ nữ mặc trang phục truyền thống đang tái hiện cuộc sống bản địa.
One man holds another man's head down and prepares to punch him in the face.	Người này cúi đầu xuống và chuẩn bị đấm vào mặt người kia.	Một người đàn ông giữ đầu một người đàn ông khác xuống và chuẩn bị đấm vào mặt anh ta.
Six people ride mountain bikes through a jungle environment.	Sáu người leo núi xuyên qua một khu rừng.	Sáu người đạp xe leo núi xuyên qua môi trường rừng rậm.
2 blond girls are sitting on a ledge in a crowded plaza.	2 cô gái tóc vàng đang ngồi trên một tảng đá trong một đám đông.	2 cô gái tóc vàng đang ngồi trên bệ đá ở một quảng trường đông đúc.
A child is splashing in the water	♪ Một em bé vừa nhỏ vừa nhỏ vừa chảy nước ♪	Một đứa trẻ đang té nước
Three people sit at a picnic table outside of a building painted like a union jack.	Ba người ngồi trên bàn ăn ngoài một tòa nhà được vẽ như một quán rượu.	Ba người ngồi ở một chiếc bàn dã ngoại bên ngoài một tòa nhà được sơn giống lá cờ Liên hiệp Vương quốc Anh.
3 boys are standing on a pier in their bathing suits.	3 thằng con trai đang đứng trên 1 con tàu trong bộ đồ hóa trang.	3 cậu bé đang đứng trên cầu tàu trong bộ đồ bơi.
An employee is handing a woman a bag while she is browsing through fish on ice at a street market.	Một nhân viên đang đưa cho một phụ nữ một túi trong khi cô ấy đang băng qua băng trên đường phố.	Một nhân viên đang đưa cho một người phụ nữ một chiếc túi khi cô ấy đang xem cá đông lạnh ở một khu chợ đường phố.
A pretty woman plays a harpsichord.	Một phụ nữ xinh đẹp chơi đàn hạc.	Một người phụ nữ xinh đẹp đang chơi đàn harpsichord.
Outside a building, a uniformed security guard looks at the camera from behind a fence.	Bên ngoài một tòa nhà, một bảo vệ đồng phục nhìn vào camera từ phía sau hàng rào.	Bên ngoài tòa nhà, một nhân viên bảo vệ mặc đồng phục đang nhìn vào camera từ phía sau hàng rào.
The young lady is looking at the pizza.	Cô gái đang nhìn vào pizza.	Cô gái trẻ đang nhìn vào chiếc bánh pizza.
A shirtless man in shorts is fishing while standing on some rocks.	Một người đàn ông không mặc quần đùi đang đứng trên một số tảng đá.	Một người đàn ông cởi trần, mặc quần short đang câu cá trong khi đứng trên một tảng đá.
A girl wearing a life vest floats in water.	Một cô gái mặc áo phao trong nước.	Một cô gái mặc áo phao đang nổi trên mặt nước.
A man in uniform and a man in a blue shirt are standing in front of a truck.	Một người mặc đồng phục và một người mặc áo xanh đang đứng trước một chiếc xe tải.	Một người đàn ông mặc đồng phục và một người đàn ông mặc áo sơ mi xanh đang đứng trước một chiếc xe tải.
People sit inside a train.	Mọi người ngồi bên trong một con tàu.	Mọi người ngồi bên trong tàu hỏa.
A kid swings with his feet up in the air in a forest.	Một thằng nhóc đu đưa với đôi chân lên trời trong một khu rừng.	Một đứa trẻ đang đu mình với đôi chân giơ lên ​​cao trong không trung ở trong rừng.
A man in a red shirt entering an establishment.	Một người đàn ông mặc áo sơ-mi mặc đồng phục.	Một người đàn ông mặc áo sơ mi đỏ bước vào một cơ sở.
Two men wearing swim trunks jump in the air at a moderately populated beach.	Hai người đàn ông mặc quần bơi nhảy vào không khí ở bãi biển trung bình.	Hai người đàn ông mặc quần bơi nhảy lên không trung tại một bãi biển có lượng người dân vừa phải.
A toddler is cooking with another person.	Một người đang giao tiếp với người khác.	Một đứa trẻ đang nấu ăn cùng một người khác.
A father-figure and two children outside their home doing yard work such as using a hoe on the grass and planting a tree.	Một người cha-người cha và hai đứa trẻ bên ngoài nhà làm việc vườn như bằng cách sử dụng một cây kim trên cỏ và một cây trồng.	Một người cha và hai đứa con đang làm việc ngoài sân nhà mình như dùng cuốc cắt cỏ và trồng cây.
A man cooking food on the stove.	Một người đàn ông nấu ăn trên lò nướng.	Một người đàn ông đang nấu ăn trên bếp.
A man in jeans at the beach playing with a red ball.	Một người mặc quần bò ở bãi biển chơi bóng đỏ.	Một người đàn ông mặc quần jean đang chơi với một quả bóng đỏ trên bãi biển.
People walking down sidewalk next to a line of stores.	Mọi người đi bộ dọc theo một hàng của các cửa hàng.	Mọi người đi bộ trên vỉa hè bên cạnh một dãy cửa hàng.
A wakeboarder performs a flip while being towed at high speed.	Một người lái máy bay hạ cánh một lúc để được kéo với tốc độ cao.	Người lướt ván thực hiện động tác lộn nhào trong khi được kéo đi với tốc độ cao.
A large group of people fill a street.	Một nhóm đông người trên một con đường.	Một nhóm đông người tụ tập trên phố.
A man on a tag line going into the water.	Một người đàn ông trên một đường kẻ đang đi xuống nước.	Một người đàn ông đang chèo thuyền xuống nước.
A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses.	Một phụ nữ mặc quần jean đi trên xe buýt với tấm quảng cáo miêu tả một người phụ nữ nhìn chằm chằm vào cái mũ của mình.	Một người phụ nữ mặc quần jean đi ngang qua một chiếc xe buýt có quảng cáo mô tả một người phụ nữ đang nhìn qua kính râm.
A man in a pink shirt is sitting in the grass and a ball is in the air.	Một người đàn ông mặc áo sơ mi màu hồng đang ngồi trên cỏ và một quả bóng đang bay trên không.	Một người đàn ông mặc áo sơ mi hồng đang ngồi trên bãi cỏ và một quả bóng đang bay trên không trung.
A car parked at the beach.	Một chiếc xe ở bãi biển.	Một chiếc xe đậu ở bãi biển.
Two men wearing black in a city	Hai người đàn ông mặc màu đen đen đen đen đen trong một thành	Hai người đàn ông mặc đồ đen trong thành phố
The man in the yellow pants is raising his arms.	Người đàn ông mặc quần màu vàng đang giơ tay.	Người đàn ông mặc quần vàng đang giơ tay lên.
Two men wearing hats and using walking sticks are walking near a body of water during sundown.	Hai người đàn ông đội mũ và dùng gậy đi bộ đang đi gần một hồ nước vào lúc mặt trời lặn.	Hai người đàn ông đội mũ và chống gậy đang đi bộ gần một vùng nước lúc hoàng hôn.
A cheerleading team doing a routine on chairs.	Một đội bóng đang tập luyện.	Một đội cổ vũ đang biểu diễn trên ghế.
A boy is playing checkers with an adult shown off-screen while a girl looks on.	Một cậu bé đang chơi cờ bạc với một người trưởng thành khoe khoang trong khi một cô gái nhìn vào.	Một cậu bé đang chơi cờ với một người lớn đứng ngoài màn hình trong khi một cô gái đang nhìn theo.
A crowd of people out for some fun in public park.	Có rất nhiều người ra ngoài chơi ở công viên.	Một đám đông đang vui chơi ở công viên công cộng.
A man sits on a bench holding his dog and looking at the water.	Một người đàn ông ngồi trên băng ghế ôm con chó và nhìn xuống nước.	Một người đàn ông ngồi trên băng ghế, bế con chó của mình và nhìn xuống nước.
A boy and his younger brother playing together at the playground.	Một đứa con trai và em trai nó chơi với nhau ở sân chơi.	Một cậu bé và em trai đang chơi đùa cùng nhau ở sân chơi.
A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her.	Một người phụ nữ màu xanh nhìn trong một túi da màu đen trong khi ngồi trên một băng ghế dài vào một buổi chiều trong khi mọi người và eng đã đi qua phía sau cô.	Một người phụ nữ mặc đồ xanh nhìn vào chiếc túi da đen khi ngồi trên băng ghế vào một buổi chiều nắng trong khi mọi người và xe limousine đi qua phía sau cô.
The brown dog is standing on the sandy beach.	Con chó màu nâu đang đứng trên bãi cát.	Con chó nâu đang đứng trên bãi cát.
A woman is sitting with a basket of cloth, surrounded by cloth.	Một người đờn bà ngồi chung_quanh mình đầy một cái giỏ vải .	Một người phụ nữ đang ngồi với một giỏ vải, xung quanh là vải.
A man is grilling out in his backyard.	Một người đàn ông đang ra sân sau nhà mình.	Một người đàn ông đang nướng thịt ở sân sau nhà mình.
A woman sings in a club with a guitarist behind her.	Một phụ nữ hát trong một câu lạc bộ với một người có uy tín đằng sau.	Một người phụ nữ đang hát trong câu lạc bộ với một nghệ sĩ guitar chơi đàn phía sau cô ấy.
Guitar player performs at a nightclub red guitar.	Những người chơi biểu diễn tại một hộp đêm màu đỏ.	Người chơi guitar biểu diễn tại một hộp đêm bằng cây đàn guitar đỏ.
A child sitting on a lawn chair looking up at the camera	Một đứa trẻ ngồi trên một chiếc xe trượt băng nhìn lên máy ảnh	Một đứa trẻ đang ngồi trên ghế dài nhìn lên máy ảnh
Two ladies and three men looking at the ocean.	Hai quý cô và ba người đang nhìn vào biển cả.	Hai người phụ nữ và ba người đàn ông đang nhìn ra đại dương.
A female performer with a violin plays on a street while a woman with a blue guitar looks on.	Một nữ diễn viên chơi đàn trên đường phố, trong khi một phụ nữ với một cây guitar màu xanh.	Một nghệ sĩ nữ chơi đàn violin trên phố trong khi một người phụ nữ cầm đàn guitar màu xanh đứng nhìn.
A young girl swimming in a pool	♪ Một cô gái trẻ đang bơi trong hồ	Một cô gái trẻ đang bơi trong hồ bơi
Several children are outdoors getting ready to play tug-of-war.	Một vài đứa trẻ đang sẵn sàng để chơi đùa trong chiến tranh.	Một số trẻ em đang ở ngoài trời chuẩn bị chơi trò kéo co.
Three teenagers in a subway playing around.	Ba đứa trẻ chơi điện tử.	Ba thiếu niên đang chơi đùa trên tàu điện ngầm.
A brown dog walks in the grass with its tongue hanging out.	Một con chó màu nâu bước đi trên cỏ với cái lưỡi treo lơ lửng.	Một con chó nâu đi trên bãi cỏ với cái lưỡi thè ra.
People sitting in the grass outside a building, taking a break.	Những người ngồi trên cỏ ngoài một tòa nhà, nghỉ ngơi.	Mọi người đang ngồi trên bãi cỏ bên ngoài tòa nhà để nghỉ ngơi.
Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe.	Một người đàn ông yếu đuối đang nhìn chằm chằm vào khoảng cách trong khi ba người phụ nữ đang đi qua một đám đông ngồi bên ngoài quán cà phê.	Một anh chàng cởi trần nhìn chằm chằm vào khoảng không trong khi ba người phụ nữ đang đi ngang qua đám đông đang ngồi bên ngoài một quán cà phê.
Two young boys putting fruit on the bike.	Hai chàng trai trẻ đang đeo hoa quả trên xe.	Hai cậu bé đang chất trái cây lên xe đạp.
A man in a black t-shirt, cap and jeans is playing drums on an upside down yellow pail.	Một người đàn ông mặc áo thun màu đen, đội nón và quần jean đang chơi trống trên một chiếc áo lót màu vàng.	Một người đàn ông mặc áo phông đen, mũ lưỡi trai và quần jean đang chơi trống trên một chiếc thùng màu vàng úp ngược.
A young female artists paints an image of a woman on a wall.	Một nữ nghệ sĩ trẻ vẽ một hình ảnh của một người phụ nữ trên tường.	Một nữ họa sĩ trẻ đang vẽ hình ảnh một người phụ nữ trên tường.
Two female members of team USA performing a jump high-five surrounded by two other female members.	Hai thành viên nữ trong đội chuẩn bị một cú nhảy cao với hai thành viên nữ khác.	Hai thành viên nữ của đội tuyển Hoa Kỳ thực hiện động tác nhảy cao, xung quanh là hai thành viên nữ khác.
A man stirring a pot of liquid in this kitchen.	Một người đàn ông nấu một bình nước trong nhà bếp này.	Một người đàn ông đang khuấy một nồi chất lỏng trong bếp.
The boy is wakeboarding on the lake.	Cậu bé đang lướt trên cái hồ.	Cậu bé đang lướt ván trên hồ.
A man is working a hotdog stand.	Một người đàn ông đang làm việc cho một quán ăn hot dog.	Một người đàn ông đang làm việc tại một quầy bán xúc xích.
A large group of people of various ages and genders sit outside together.	Một nhóm đông những người thuộc nhiều lứa tuổi và giới tính ngồi chung với nhau.	Một nhóm lớn người ở nhiều độ tuổi và giới tính khác nhau ngồi cùng nhau ở bên ngoài.
A blond-haired woman is pouring drinks at a bar.	Một phụ nữ tóc vàng đang uống rượu tại một quán bar.	Một người phụ nữ tóc vàng đang rót đồ uống tại quầy bar.
A small child wearing a blue and white t-shirt happily holding a yellow plastic alligator.	Một đứa trẻ mặc một chiếc áo thun màu xanh trắng và trắng vui vẻ cầm một cái hộp nhựa màu vàng.	Một đứa trẻ mặc áo phông xanh trắng đang vui vẻ cầm một con cá sấu bằng nhựa màu vàng.
A woman with pink hair dressed in black talks to a man.	Một người phụ nữ với mái tóc màu hồng màu đen nói chuyện với một người đàn ông.	Một người phụ nữ tóc hồng mặc đồ đen đang nói chuyện với một người đàn ông.
The man in a Japanese cooking suit is preparing a meal for two people.	Người đàn ông trong bộ đồ bảo hộ nấu ăn Nhật đang chuẩn bị bữa ăn cho hai người.	Người đàn ông mặc bộ đồ đầu bếp Nhật Bản đang chuẩn bị bữa ăn cho hai người.
A girl hops across the river, from rock to rock.	Một cô gái nhảy qua con sông, từ tảng đá này sang tảng đá khác.	Một cô gái nhảy qua sông, từ tảng đá này sang tảng đá khác.
A male worker with his tool box is kneeling next to two women.	Một người nam làm việc với hộp dụng cụ của mình nằm cạnh hai phụ nữ.	Một công nhân nam với hộp dụng cụ đang quỳ bên cạnh hai người phụ nữ.
An older man is opening his arms wide and looking perplexed.	Một người đàn ông lớn tuổi đang mở rộng vòng tay và nhìn chằm chằm.	Một người đàn ông lớn tuổi đang dang rộng vòng tay và trông có vẻ bối rối.
A child in a white karate outfit practicing a move	Một đứa trẻ mặc bộ đồ trắng trắng đang thực hiện một bước di chuyển	Một đứa trẻ mặc trang phục karate màu trắng đang tập luyện một động tác
Three men in same colored vests are in the outdoors.	Ba người mặc áo chống đạn cùng màu đang ở ngoài.	Ba người đàn ông mặc áo vest cùng màu đang ở ngoài trời.
A woman takes a picture of a baby wearing a pink hat while a man carries her.	Một người phụ nữ chụp ảnh một em bé đội một cái mũ hồng trong khi một người đàn ông ôm em bé.	Một người phụ nữ chụp ảnh một em bé đội mũ hồng trong khi một người đàn ông đang bế em bé.
A group of mostly asian children sitting at cubicles in blue chairs.	Một nhóm trẻ em đa số là những đứa trẻ gốc Ấn đang ngồi trên ghế màu xanh.	Một nhóm trẻ em chủ yếu là người châu Á đang ngồi ở các ô trên ghế màu xanh.
A young boy in a soccer uniform crying into his palms.	Một cậu bé mặc đồng phục bóng khóc lóc trong lòng bàn tay.	Một cậu bé mặc đồng phục bóng đá đang khóc úp mặt vào lòng bàn tay.
A happy woman is preparing a refreshment at a coffee shop.	Một người đàn bà hạnh phúc đang chuẩn bị giải trí tại quán cà phê.	Một người phụ nữ vui vẻ đang chuẩn bị đồ uống giải khát tại một quán cà phê.
A construction worker is driving heavy equipment at a work site.	Một công nhân xây cất đang vận dụng những dụng cụ nặng nhọc tại nơi làm việc.	Một công nhân xây dựng đang lái thiết bị hạng nặng tại công trường.
A woman runs after making a hit in women's softball, the catcher rises to her feet.	Một người phụ nữ chạy sau khi làm một cú đánh vào của phụ nữ, người bắt bóng tăng lên bàn chân của mình.	Một người phụ nữ chạy sau khi thực hiện cú đánh trong môn bóng mềm nữ, người bắt bóng đứng dậy.
A man in a work uniform passing a tool to another person.	Một người đàn ông trong một đồng phục đồng phục đi qua một công cụ cho một người khác.	Một người đàn ông mặc đồng phục lao động đang trao dụng cụ cho người khác.
A group of people are climbing in cold weather.	Một nhóm người đang trong thời tiết lạnh.	Một nhóm người đang leo núi trong thời tiết lạnh giá.
A mountaineer about to descend down a mountain with a blue helmet on.	Một vệ sĩ chuẩn bị hạ xuống một ngọn núi với một chiếc mũ bảo hiểm màu xanh.	Một người leo núi chuẩn bị xuống núi với chiếc mũ bảo hiểm màu xanh trên đầu.
A man doing handstand on top of a round statue.	Một người đàn ông đang làm bàn tay trên đầu của một bức tượng tròn.	Một người đàn ông đang đứng trên đỉnh một bức tượng tròn.
A child sitting at a restaurant table holding a paper mask against his face.	Một đứa trẻ ngồi ở bàn ăn với một mặt nạ đeo mặt nạ chống lại khuôn mặt của mình.	Một đứa trẻ đang ngồi ở bàn ăn trong nhà hàng và áp mặt nạ giấy vào mặt.
A brown dog wades into a lake to retrieve a stick.	Một con chó màu nâu lao vào một cái hồ để lấy một cái que.	Một chú chó nâu lội xuống hồ để nhặt một cây gậy.
A mother teaches her two young boys to fish off of a rocky coast into very blue water.	Một người mẹ dạy cho hai con trai nhỏ của mình cách tách cá ra khỏi bờ biển trong nước rất xanh.	Một người mẹ dạy hai cậu con trai nhỏ cách câu cá ngoài khơi bờ biển đầy đá vào vùng nước trong xanh.
A little kid is walking next to red banners.	Một đứa bé nhỏ đang đi kế bên những tấm bảng màu đỏ.	Một đứa trẻ đang đi cạnh những tấm biểu ngữ màu đỏ.
A girl sits on a decorated bike with a younger boy while another girl takes a picture.	Một cô gái ngồi trên một chiếc xe đạp với một em trai nhỏ trong khi một cô gái khác chụp ảnh.	Một cô gái ngồi trên chiếc xe đạp được trang trí cùng một cậu bé nhỏ tuổi hơn trong khi một cô gái khác đang chụp ảnh.
A black dog is retrieving a ball in water.	Một con chó mực là một quả bóng trong nước.	Một con chó đen đang nhặt một quả bóng dưới nước.
A man in white pants and a blue shirt is kicking a yellow boxing bag.	Một người đàn ông mặc quần trắng và một cái áo sơ mi màu xanh đang ném một cái túi vàng.	Một người đàn ông mặc quần trắng và áo sơ mi xanh đang đá bao cát màu vàng.
Two Indian men participating in a ceremony.	Hai người đàn ông da đỏ trong một buổi lễ.	Hai người đàn ông Ấn Độ đang tham gia một buổi lễ.
A boy with a bruised nose and writing on his hands is standing in a video rental store.	Một cậu bé với một cái mũi bị dập và viết trên tay đang đứng trong một cửa hàng video.	Một cậu bé với chiếc mũi bầm tím và chữ viết trên tay đang đứng trong một cửa hàng cho thuê băng video.
Two silhouetted people paddle a canoe on the ocean during sunset.	Có hai người chèo thuyền trên biển vào lúc mặt trời lặn.	Hai bóng người chèo thuyền độc mộc trên biển vào lúc hoàng hôn.
People are standing on a crowded subway, and the platform outside is visible through the window.	Mọi người đang đứng trên một tàu điện ngầm đông đúc, và sân ga bên ngoài là nhìn thấy thông qua cửa sổ.	Mọi người đang đứng trên một tàu điện ngầm đông đúc, và có thể nhìn thấy sân ga bên ngoài qua cửa sổ.
Man scaling wall with fire in hand	♪ Trong bức tường với lửa trong tay ♪	Người đàn ông trèo tường với ngọn lửa trên tay
Two brown dogs are running through the snow.	Hai con chó màu nâu đang chạy qua tuyết.	Hai chú chó nâu đang chạy trên tuyết.
On stage photo of small band performing for theater audience.	Trên sân khấu của một ban nhạc nhỏ đang biểu diễn cho khán giả.	Bức ảnh trên sân khấu của một ban nhạc nhỏ đang biểu diễn cho khán giả nhà hát.
A baby in a Christmas outfit looks at the camera.	Một em bé trong một buổi tiệc giáng sinh nhìn vào máy quay.	Một em bé mặc trang phục Giáng sinh đang nhìn vào máy ảnh.
A man is sitting next to a computer monitor.	Một người đàn ông ngồi cạnh một máy tính.	Một người đàn ông đang ngồi cạnh màn hình máy tính.
This lady has heard a funny joke and laughing.	Quý cô đây đã nghe thấy một trò cười hài hước và cười.	Người phụ nữ này đã nghe một câu chuyện cười buồn cười và bật cười.
People inside of a building, one is taking a photo.	Những người ở bên trong một tòa nhà, một người chụp ảnh.	Mọi người bên trong tòa nhà, một người đang chụp ảnh.
Four white dogs with muzzles jump over a red wall.	Bốn tên da trắng với cái quần lót nhảy qua tường đỏ.	Bốn con chó trắng có mõm nhảy qua bức tường đỏ.
The woman with the blue shirt is holding a baby.	Người phụ nữ mặc áo sơ mi đang bế một đứa bé.	Người phụ nữ mặc áo sơ mi xanh đang bế một đứa bé.
Two people are sitting fishing on striped beach chairs in a body of water.	Hai người đang ngồi câu cá trên ghế có sọc trong một hồ nước.	Hai người đang ngồi câu cá trên những chiếc ghế sọc trên bãi biển ở một vùng nước.
An old woman working at a loom making cloth.	Một bà già làm việc trong một tấm vải dệt.	Một bà lão đang dệt vải bên khung cửi.
A boy standing in the foreground looking out over other people in a court.	Một cậu bé đứng ngoài đường canh chừng những người khác trong tòa án.	Một cậu bé đứng ở phía trước nhìn xuống những người khác trong tòa án.
A man in a blue coat grabbing a young boy's shoulder.	Một người mặc áo khoác xanh ôm vai một chàng trai trẻ.	Một người đàn ông mặc áo khoác xanh đang nắm lấy vai một cậu bé.
Three brown dogs are jumping up at the woman wearing blue.	Ba con chó màu nâu đang nhảy vào người phụ nữ mặc màu xanh.	Ba con chó nâu đang nhảy lên người phụ nữ mặc đồ xanh.
A boy hangs out of a passing taxi cab window	Một chàng trai đi ra khỏi một chiếc taxi taxi đồng hồ có tiếng	Một cậu bé thò đầu ra ngoài cửa sổ xe taxi đang chạy qua
A man in a gray shirt jumps over the top of a sand dune in the desert.	Một người đàn ông mặc áo sơ mi màu xám nhảy lên đỉnh cát trong sa mạc.	Một người đàn ông mặc áo sơ mi xám nhảy qua đỉnh đồi cát ở sa mạc.
A child wearing a yellow shirt is jumping up and down.	Một đứa trẻ mặc áo vàng đang nhảy lên nhảy xuống.	Một đứa trẻ mặc áo sơ mi vàng đang nhảy lên nhảy xuống.
A worker in a yellow jacket is hoisted up high to work on a building.	Một nhân viên mặc áo khoác màu vàng được trang trí cao để làm việc trên một tòa nhà.	Một công nhân mặc áo khoác vàng được kéo lên cao để làm việc trên một tòa nhà.
A man in Brazil giving an informal talk to young adults.	Một người đàn ông ở Brazil nói chuyện trò chuyện với người trẻ.	Một người đàn ông ở Brazil đang có buổi nói chuyện thân mật với những người trẻ tuổi.
A bunch of beer pull tabs at a bar with Christmas lights on the ceiling.	Cả tá bia đến quán bar với đèn giáng sinh trên trần nhà.	Một loạt các loại bia kéo ở một quán bar có đèn Giáng sinh trên trần nhà.
A man is abseiling down a cliff over the ocean.	Một người đàn ông đang lao xuống một vách đá trên đại dương.	Một người đàn ông đang đu dây xuống một vách đá trên biển.
A man in black is walking to his truck in the snow.	Một người đàn ông mặc đồ đen đang đi đến xe tải của mình trong tuyết.	Một người đàn ông mặc đồ đen đang đi bộ trong tuyết đến xe tải của mình.
A fox terrier leaps after a ball.	Một nhà tiên phong đang đuổi theo một quả bóng.	Một con chó sục cáo nhảy theo quả bóng.
A female police officer in a cap and navy uniform smiles while wearing sunglasses outside of a shop.	Một nữ cảnh sát nữ đeo mũ và mặc đồng phục mỉm cười trong khi mặc áo choàng ngoài cửa hàng.	Một nữ cảnh sát đội mũ lưỡi trai và mặc đồng phục hải quân mỉm cười trong khi đeo kính râm bên ngoài một cửa hàng.
A Family going for a walk in a park.	Một gia đình đi dạo trong một công viên.	Một gia đình đang đi dạo trong công viên.
A man in a green hard hat and yellow safety vest frowns.	Một người đàn ông với mũ xanh và áo chống đạn.	Một người đàn ông đội mũ cứng màu xanh lá cây và mặc áo an toàn màu vàng đang cau mày.
Child with pink strings on head dancing surrounded by confetti, balloons.	Em bé với những sợi dây đeo trên đầu nhảy múa xung quanh là hoa ringetti, bóng bay.	Đứa trẻ với dây hoa màu hồng trên đầu đang nhảy múa xung quanh là những mảnh giấy vụn và bóng bay.
